,Date,Net Sales,Orders,Guests
376,2024-01-12,1112.3,35,35
377,2024-01-13,1203.78,32,32
378,2024-01-14,569.07,17,17
379,2024-01-15,0.0,0,0
380,2024-01-16,147.88,7,7
381,2024-01-17,303.78,10,10
382,2024-01-18,327.74,10,10
383,2024-01-19,835.5,30,30
384,2024-01-20,1286.22,38,38
385,2024-01-21,636.11,19,19
386,2024-01-22,0.0,0,0
387,2024-01-23,359.27,12,12
388,2024-01-24,338.78,10,10
389,2024-01-25,555.72,17,17
390,2024-01-26,711.91,27,27
391,2024-01-27,805.01,22,22
392,2024-01-28,805.43,27,27
393,2024-01-29,0.0,0,0
394,2024-01-30,375.17,18,18
395,2024-01-31,296.76,10,10
396,2024-02-01,333.31,11,11
397,2024-02-02,872.78,34,34
398,2024-02-03,952.89,24,24
399,2024-02-04,958.91,28,28
400,2024-02-05,0.0,0,0
401,2024-02-06,498.16,16,16
402,2024-02-07,410.75,14,14
403,2024-02-08,420.66,15,15
404,2024-02-09,1394.1,41,41
405,2024-02-10,1333.69,34,34
406,2024-02-11,2289.74,41,41
407,2024-02-12,0.0,0,0
408,2024-02-13,285.76,8,8
409,2024-02-14,762.6,23,23
410,2024-02-15,537.58,15,15
411,2024-02-16,1539.57,50,50
412,2024-02-17,1096.52,28,28
413,2024-02-18,891.87,29,29
414,2024-02-19,0.0,0,0
415,2024-02-20,334.77,13,13
416,2024-02-21,410.12,19,19
417,2024-02-22,430.18,23,23
418,2024-02-23,941.98,30,30
419,2024-02-24,864.44,24,24
420,2024-02-25,555.11,18,18
421,2024-02-26,0.0,0,0
422,2024-02-27,190.84,8,8
423,2024-02-28,407.78,13,13
424,2024-02-29,422.72,16,16
425,2024-03-01,1084.36,29,29
426,2024-03-02,1392.56,41,41
427,2024-03-03,913.37,32,32
428,2024-03-04,0.0,0,0
429,2024-03-05,508.66,16,16
430,2024-03-06,453.18,18,18
431,2024-03-07,755.6,17,17
432,2024-03-08,809.82,28,28
433,2024-03-09,1271.27,41,41
434,2024-03-10,908.37,33,33
435,2024-03-11,0.0,0,0
436,2024-03-12,130.94,5,5
437,2024-03-13,3824.25,15,15
438,2024-03-14,827.52,30,30
439,2024-03-15,929.41,24,24
440,2024-03-16,775.97,24,24
441,2024-03-17,804.05,25,25
442,2024-03-18,0.0,0,0
443,2024-03-19,505.23,15,15
444,2024-03-20,301.3,11,11
445,2024-03-21,491.32,16,16
446,2024-03-22,954.85,29,29
447,2024-03-23,1311.18,29,29
448,2024-03-24,575.19,19,19
449,2024-03-25,0.0,0,0
450,2024-03-26,263.38,8,8
451,2024-03-27,880.91,23,23
452,2024-03-28,974.51,23,23
453,2024-03-29,622.59,19,19
454,2024-03-30,761.5,21,21
455,2024-03-31,858.95,26,26
456,2024-04-01,0.0,0,0
457,2024-04-02,917.02,27,27
458,2024-04-03,980.11,20,20
459,2024-04-04,499.63,15,15
460,2024-04-05,1274.66,26,26
461,2024-04-06,989.37,29,29
462,2024-04-07,733.52,21,21
463,2024-04-08,0.0,0,0
464,2024-04-09,251.85,9,9
465,2024-04-10,493.25,16,16
466,2024-04-11,490.68,16,16
467,2024-04-12,1073.8,32,32
468,2024-04-13,1056.7,28,28
